PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
2009149,00 00 01.2,+32 42 36,G,0,0.71,0.27,107.0,0,2384887413870919105
1627451,00 00 01.3,+20 26 33,G,0,0.59,0.35,12.0,0,-5685702162376003358
1025507,00 00 01.3,-07 01 26,G,0,0.49,0.18,131.0,0,-7258685225055764045
556602,00 00 01.5,-42 52 20,G,0,0.44,0.11,11.0,0,-5098152552555930331
265253,00 00 01.5,-72 08 54,G,0,0.48,0.2,118.0,0,-9103806241134330113
870041,00 00 01.5,-18 17 25,G,0,0.53,0.24,77.0,0,7776822288094437384
427855,00 00 01.5,-53 37 55,G,0,0.57,0.15,72.0,0,801780207350016201
1004399,00 00 01.6,-08 23 08,G,0,0.55,0.46,117.0,0,-1822342910404344718
1152096,00 00 01.6,-00 05 34,G,0,0.41,0.18,50.0,0,-2117500249296385588
2,00 00 01.6,+47 16 29,G,SBb,1.27,0.17,162.0,UGC12889              MCG8-01-018           CGCG549-13            CGCG548-22            [RC2]A2357+47         IRAS23574+4659        NPM1G+46.0448,3749857543360061768
2025207,00 00 01.7,+33 09 53,G,0,0.57,0.06,91.0,0,4144869486449732048
